DIVER-1006836                   8018 189.1788516 62.2457286 7.2640 -19.33     78.00   -1.00 prism
GN-4762-18601                   4762 189.0572516 62.1762089 7.2662 -11.69       nan     nan grating
DIVER-1027598                   8018 189.1784867 62.2478343 7.2670 -18.78    292.39   -1.00 prism
JADES-GN-39544                  1181 189.3030540 62.1537420 7.2720 -19.53     23.00   -1.00 grating
GN-4762-35208                   4762 189.1590839 62.2057560 7.3072 -21.01     10.45   -1.00 grating
GN-1181-4685                    1181 189.0962931 62.2391438 7.4131 -17.74     28.25   -1.00 grating
DIVER-1080319                   8018 189.2620629 62.2120866 7.4300 -19.38     77.78   -1.00 prism
JADES-GN-60331                  1181 189.2752370 62.2124410 7.4330 -19.38     13.00   -1.00 grating
DIVER-1019399                   8018 189.1277297 62.2889360 7.4720 -18.64    133.94   -1.00 prism
JADES-GN-38684                  1181 189.1210860 62.2778080 7.4780 -19.72     27.00   -1.00 grating
DIVER-1035191     z8_GND_5296   8018 189.1577939 62.3023437 7.4976 -20.64     50.00   -1.00 prism
DIVER-1035192     z8_GND_5296   8018 189.1579813 62.3023993 7.4982 -21.13     56.92    7.45 prism
DIVER-1028128                   8018 189.0973400 62.2509770 7.5250 -19.14     90.80   -1.00 prism
DIVER-1014576                   8018 189.2010871 62.2739615 7.5273 -17.59     62.51   -1.00 prism
GN-1211-1648                    1211 189.4397110 62.3023754 7.5685 -20.58     15.61   -1.00 prism
GN-1181-10038687                1181 189.2030733 62.1439285 7.5717 -15.93      9.52   -1.00 grating
spurs-goodsn-165  SPURS-GN-165  9214 189.0314562 62.2494400 7.6045 -20.00    173.90    1.60 grating
DIVER-1089540                   8018 189.1737213 62.2717732 7.6148 -17.67     36.18    4.57 grating
GN-1211-770                     1211 189.2031039 62.2424846 7.6166 -20.34     39.84   -1.00 prism
GN-1211-767                     1211 189.2700294 62.2885556 7.6307 -20.25     12.29   -1.00 prism
DIVER-1064596                   8018 189.2886800 62.2265200 7.6350 -19.91    126.11   31.52 prism
DIVER-1026832                   8018 189.2031000 62.2424930 7.6460 -20.52     31.00   -1.00 prism
DIVER-1010008                   8018 189.0873400 62.2558250 7.7779 -18.80    234.00   -1.00 prism
DIVER-1188500                   8018 189.2745800 62.2105200 8.0122 -20.53    113.11   -1.00 prism
DIVER-1065461                   8018 189.2695844 62.2304694 8.2759 -18.15    122.23   -1.00 prism
JADES-GN-1899                   1181 189.1977400 62.2569640 8.2820 -20.02    118.00   12.00 grating
DIVER-1010020                   8018 189.1384880 62.2558982 8.2913 -18.69    136.69   -1.00 prism
JADES-GN-5776                   1181 189.0772720 62.2425330 8.3710 -19.14     98.00   -1.00 prism
JADES-GN-45131                  1181 189.2114000 62.1703040 8.3710 -19.90     12.00   -1.00 grating
JADES-GN-45170                  1181 189.2071550 62.1703940 8.3730 -18.31     33.00   -1.00 grating
